Energy	I0	Sample	Reference
6567.46	694152	268664	13845
6567.84	693908	274303	14047
6568.21	693634	279693	14214
6568.34	693565	281267	14235
6568.67	693275	283771	14327
6569	693011	285422	14387
6569.25	692822	285919	14413
6569.59	692693	286675	14427
6569.92	692804	287874	14449
6570.25	692688	290586	14538
6570.42	692541	292150	14538
6570.79	692275	297900	14818
6571.09	692109	304026	15073
6571.46	691889	311204	15338
6571.59	691811	314155	15419
6572.04	691766	322565	15767
6572.29	691890	326323	15957
6572.63	691686	331525	16156
6572.96	691462	335844	16383
6573.13	691348	337070	16339
6573.5	691122	339462	16450
6573.84	690942	340591	16536
6574.21	690757	340703	16563
6574.38	691312	340866	16568
6574.67	691309	340103	16491
6575.04	691195	338430	16472
6575.17	691130	337473	16465
6575.59	690982	334267	16295
6575.92	690816	331198	16202
6576.25	690740	327573	16025
6576.42	690657	326014	15977
6576.84	689604	321084	15807
6577.13	689179	317517	15581
6577.51	688942	314178	15412
6577.63	688743	312696	15371
6578.05	688527	309633	15218
6578.26	688363	308415	15152
6578.63	688189	306633	15053
6579.01	687944	305347	14974
6579.13	688107	305181	14921
6579.47	688023	304776	14843
6579.8	687765	305094	14839
6580.1	687591	305839	14828
6580.47	687479	307638	14864
6580.6	687328	308678	14887
6581.01	687133	312329	14889
6581.35	686843	315906	14986
6581.52	686325	317926	15051
6581.89	686330	323692	15184
6582.31	686106	329493	15325
6582.44	685960	331699	15368
6582.81	685823	336762	15502
6583.15	685597	342341	15604
6583.31	685470	344527	15666
6583.69	685164	351229	15866
6583.98	684959	356619	15919
6584.36	684745	362441	16040
6584.57	684562	365792	16145
6584.9	684603	368957	16150
6585.28	684334	376684	16335
6585.41	683905	380541	16431
6585.78	683810	388296	16667
6586.07	683776	394522	16794
6586.45	683466	401597	16965
6586.66	683354	404599	17060
6587	683046	410950	17148
6587.33	682802	417833	17393
6587.62	682560	422959	17508
6587.96	682408	429506	17725
6588.08	682299	432119	17826
6588.5	682442	439659	18052
6588.88	682150	445153	18289
6589.05	682034	447830	18439
6589.42	681686	454302	18671
6589.72	681435	459282	18896
6590.05	681071	464439	19115
6591.98	679037	487227	20548
6594.08	660489	482075	21136
6595.88	679568	490859	22039
6598.07	679750	481419	22241
6599.92	678671	477462	22779
6602.06	677492	478099	23445
6603.91	676606	479740	23786
6606.14	675710	475736	23533
6607.91	674927	465933	22847
6610.15	673971	448331	21703
6611.92	673191	435657	20909
6614.12	672370	425226	20016
6615.93	671509	417326	19353
6618.17	670688	403356	18576
6619.82	669949	386505	17844
6622.11	668974	364727	16968
6623.93	668236	356454	16743
6626.17	666872	357392	16925
6627.87	666078	361825	17229
6630.03	665200	368433	17751
6632.07	664372	375420	18260
6633.94	663623	381576	18682
6635.98	662642	388019	19060
6638.07	661944	393421	19203
6639.94	661457	396037	19131
6641.98	660680	396560	18956
6644.07	659930	395670	18765
6645.9	659019	395227	18772
6648.12	658441	395584	18850
6650	657766	396933	19186
6652.01	657060	400803	19538
6654.15	656346	407311	20157
6655.9	655696	413022	20626
6658.04	654835	417719	21063
6659.93	654170	417723	21274
6662.03	653338	412751	21272
6663.91	652689	406588	21133
6666.02	651850	401802	20888
6667.86	651171	401991	20845
6670.1	650071	407331	20941
6671.9	649352	414724	21140
6674.22	648524	425182	21280
6675.82	647855	433472	21543
6678.06	647026	444999	21880
6679.91	646254	454426	22158
6682.07	645486	463633	22480
6683.88	644591	468843	22592
6686.17	642965	471261	22756
6687.9	642201	470752	22733
6690.06	641361	467256	22622
6691.92	640626	462833	22565
6694.04	639714	457866	22512
6695.95	638931	454514	22598
6698.11	638113	451326	22668
6699.89	638352	448974	22803
6702.02	637536	443602	22786
6703.89	636759	436927	22687
6705.97	635980	428014	22468
6708.06	635216	419848	22372
6709.93	634386	414686	22354
6712.02	633553	412287	22372
6713.94	633253	412409	22465
6716.12	631986	413343	22535
6717.95	631196	415174	22555
6720.04	630471	418018	22675
6721.96	629747	420914	22833
6724.06	628901	424115	22996
6725.99	628244	426967	23116
6727.91	627513	429142	23225
6730.14	625865	430054	23302
6731.9	625331	430565	23212
6734.13	624555	431079	23238
6735.89	623761	431916	23301
6738.08	622921	434389	23372
6739.88	622291	437320	23555
6742.03	621487	440792	23672
6743.97	620842	443774	23898
6745.95	620249	446498	24011
6748.06	619517	448846	24250
6750	618805	450821	24404
6751.94	618077	452278	24671
6754.15	617212	453316	24897
6755.95	616483	453089	24975
6758.12	615731	451957	25083
6759.93	614869	450267	25045
6762.1	614098	448378	25043
6763.96	613348	447355	24967
6765.9	612597	447641	25002
6768.07	611759	449185	25128
6769.94	610971	450883	25208
6772.11	610172	452924	25365
6773.88	609639	454582	25465
6776.06	609250	456758	25699
6777.88	608584	458726	25885
6780.06	607786	461461	26158
6781.93	607098	464391	26450
6784.07	606368	468262	26841
6785.94	605612	471442	27222
6788.12	604869	474166	27466
6789.95	604138	475116	27731
6791.91	603301	475011	27849
6794.1	602445	474073	27952
6795.93	601837	473334	27989
6797.86	601125	473027	28079
6800.09	600297	473760	28219
6801.97	599569	474998	28375
6803.9	598268	476636	28548
6806.19	597758	479170	28725
6807.85	597061	480449	28751
6810.04	596282	481163	28843
6811.98	595574	480654	28832
6813.95	594738	479357	28772
6815.93	593998	477849	28658
6818	593216	476417	28607
6820.03	593448	475627	28554
6822.05	592794	474315	28479
6823.99	592073	473368	28429
6826.02	591368	472807	28415
6828.01	590621	472393	28446
6830.04	584570	468173	28271
6832.03	585143	467870	28288
6833.83	587966	470632	28555
6836.1	587452	470989	28675
6837.95	586778	471834	28803
6839.94	586199	473388	28967
6842.03	585523	475109	29153
6843.98	584789	477014	29373
6846.02	584057	478029	29394
6847.84	583416	478605	29594
6850.15	582893	479232	29728
6851.84	582310	479459	29865
6854.11	581476	480242	29965
6856.07	580878	480969	30123
6857.98	580176	482057	30257
6860.03	579397	483552	30384
6861.99	578706	485212	30699
6863.95	577668	486679	30932
6866.01	576972	488446	31093
6867.97	576230	489936	31306
6869.98	575602	491110	31396
6872.04	574862	491452	31575
6874.1	574295	491894	31699
6875.98	573601	491888	31811
6878.04	572867	491949	31923
6880.01	572207	492279	31990
6881.94	571626	492774	32250
6883.91	571030	493603	32338
6885.98	562276	487739	32109
6888.05	568922	494827	32541
6890.16	568500	495508	32706
6891.91	567926	495427	32702
6893.98	567503	494888	32784
6896.01	566771	493859	32800
6897.99	565989	492764	32792
6900.02	565352	492126	32804
6901.96	564746	492035	32868
6903.99	564034	492463	33000
6906.07	563329	493740	33115
6907.97	562850	496007	33337
6910.05	562268	498797	33533
6912.04	561651	501670	33775
6914.03	560995	504272	33955
6916.02	560227	506439	34152
6917.97	559747	508312	34328
6919.97	559144	509700	34474
6921.96	558369	510818	34638
6924.06	556843	511313	34749
6926.01	556108	512425	34922
6928.05	555410	513557	35057
6929.96	554766	514651	35178
6932.01	554028	515823	35359
6933.97	553304	516844	35419
6935.93	552614	517927	35690
6938.03	551943	518677	35755
6939.94	551286	518999	35825
6942.04	550517	518898	35888
6944.1	549710	518479	35971
6945.97	549154	518090	35992
6947.98	548339	517539	36102
6950	547917	517303	36120
6951.97	547317	517078	36159
6953.98	547001	517347	36234
6955.9	546335	517254	36366
6957.97	545696	517217	36479
6960.08	544961	517016	36540
6961.96	544337	516619	36594
6963.89	543558	515958	36699
6966.01	542772	515081	36779
6968.03	542261	514737	36861
6970.01	541622	514451	36906
6972.04	540771	514232	37012
6974.02	540271	514433	37091
6976.05	539532	514676	37205
6977.98	538902	514900	37395
6980.02	538255	515577	37554
6981.96	537657	516362	37656
6983.99	537325	517495	37865
6986.02	536730	518276	38057
6988.01	535998	519073	38205
6990.05	535262	519803	38399
6991.81	534586	520319	38449
6994.04	533895	520931	38575
6996.03	533238	521532	38699
6998.07	531778	521300	38742
6999.97	531246	521958	38857
7002.07	530463	522901	38975
7003.92	529830	523698	39198
7005.92	529051	524847	39299
7008.02	528164	525989	39468
7010.02	527338	527051	39607
7012.07	526423	527992	39764
7013.98	524830	528015	39886
7015.99	508250	513685	39085
7018.09	525424	530664	40167
7019.91	526513	533219	40387
7022.01	525258	533189	40472
7024.98	523937	533659	40688
7027.95	522820	534543	40807
7031.02	522134	535978	41022
7033.95	521136	536863	41205
7036.98	520133	537446	41537
7039.96	519072	537740	41591
7043.09	518055	538047	41754
7045.88	517189	538137	41877
7049.07	516148	537894	42082
7052.01	515537	538017	42201
7054.96	514615	537619	42297
7058.05	513551	537269	42449
7060.91	512717	537457	42535
7064.06	511755	538514	42729
7067.06	510876	539912	43070
7069.88	509883	540928	43202
7073.03	509046	542096	43372
7075.95	508191	542978	43660
7078.97	507224	543916	43861
7082.03	506297	544952	44154
7084.96	505409	546045	44303
7087.88	504356	547445	44635
7091.2	503348	548883	44861
7093.99	502572	550095	45241
7097.02	501645	551113	45302
7099.96	500645	551942	45610
7103.1	499694	552826	45752
7106.14	498884	553384	45974
7108.88	498024	554096	46126
7111.93	497144	554579	46333
7115.08	496261	555384	46543
7117.93	495125	555671	46560
7121.13	494149	556402	46832
7123.84	493317	557103	46935
7127.1	492109	557257	46991
7129.92	490961	556134	47060
7133.03	489688	554414	47074
7136	488448	552908	46971
7138.97	487478	552357	47113
7141.89	486709	552636	47275
7145.12	485912	553203	47349
7147.9	485108	553409	47547
7151.08	484234	553873	47712
7154.01	483434	554123	47884
7156.95	482622	554581	48064
7159.99	481866	555166	48343
7163.03	481259	555659	48435
7165.97	480402	555902	48630
7168.97	479413	556144	48827
7171.92	478478	556644	49062
7175.12	477571	557500	49282
7177.98	476697	558414	49517
7180.98	475850	559308	49718
7183.94	474849	560137	49909
7186.96	473970	561016	50095
7190.02	473041	561929	50438
7193.09	472190	562713	50595
7195.91	471325	563452	50818
7199.08	465197	558299	50603
7201.91	469279	564966	51228
7205.09	468540	566143	51545
7207.97	467700	566934	51852
7211.05	466899	567824	52101
7213.89	466048	568287	52199
7217.13	465110	568816	52464
7220.02	464335	569237	52545
7223.06	463539	569419	52852
7226.01	462945	569864	53072
7229.06	462380	570370	53211
7231.85	461686	570484	53307
7235.16	460833	570855	53590
7237.86	460090	571356	53866
7241.13	459110	571772	53996
7244.04	458302	572236	54193
7246.95	457388	572575	54304
7249.97	456613	573298	54613
7253.09	455706	573983	54840
7256.06	454600	574463	55014
7259.03	452022	573057	55092
7261.96	453420	576441	55501
7265.09	453149	578115	55860
7267.92	452135	578377	55994
7271.11	450861	578433	56233
7273.83	450011	578834	56408
7277.18	449109	579004	56493
7279.92	448265	579287	56678
7283.07	447326	579459	56885
7285.96	446506	579780	57065
7289.06	445591	579971	57220
7292.11	445074	580699	57459
7294.91	444311	581232	57683
7298.02	443503	581883	57820
7301.03	442688	582498	58134
7303.99	441843	583093	58353
7307	441022	583670	58710
7309.97	440120	584219	58979
7313.04	439150	584413	59047
7315.96	438148	584584	59224
7318.98	437225	584965	59439
7321.91	436503	585293	59657
7325.04	435678	585476	59818
7328.02	434929	585728	59975
7331.06	434086	585919	60192
7333.94	433235	586008	60461
7336.98	432843	586632	60679
7339.97	432097	587009	60836
7343.06	431326	587272	61105
7345.85	430465	587409	61274
7349.11	429730	587954	61394
7351.9	429028	588046	61677
7355.22	428247	588591	61883
7357.91	427214	588287	62063
7361.02	420559	580982	61380
7363.93	424926	588034	62220
7366.99	424943	590034	62658
7370.01	424186	590485	62853
7373.13	423428	591080	63131
7376	422730	591593	63357
7379.07	421460	591507	63563
7381.94	420737	591879	63725
7385.02	419969	592315	63939
7387.89	419171	592688	64326
7390.98	418415	592992	64522
7393.96	417731	593568	64627
7397.21	416963	593995	64890
7399.88	416236	594395	65048
7403.08	415361	594772	65313
7405.92	414590	595296	65595
7409.07	413679	595368	65753
7411.91	413039	596029	65973
7415.07	412225	596242	66264
7417.97	411516	596639	66341
7421.13	411029	597350	66756
7423.98	410074	597237	66990
7426.94	409160	597450	67058
7429.95	408491	597915	67257
7433.07	407677	598217	67476
7435.99	406956	598576	67742
7439.01	406147	598961	68080
7441.87	405167	598926	68113
7445.11	404942	599851	68412
7447.87	404213	600200	68682
7451.11	403405	600330	68820
7453.93	402490	600237	68985
7457.13	401601	600353	69294
