Energy	I0	Sample	Reference
6557.58	1.64046E6	349148	13770
6557.95	1.63978E6	374662	14385
6558.12	1.63951E6	392508	14892
6558.53	1.6386E6	430473	16078
6558.86	1.63849E6	463019	17157
6558.99	1.63852E6	479014	17787
6559.44	1.638E6	516586	19333
6559.69	1.63762E6	534199	20088
6560.07	1.63715E6	560654	21533
6560.23	1.63694E6	570572	22173
6560.61	1.63639E6	591686	23550
6560.94	1.63586E6	604059	24482
6561.27	1.63558E6	614158	25421
6561.44	1.63536E6	617777	25686
6561.77	1.63469E6	623885	26373
6562.1	1.63435E6	628795	27024
6562.39	1.63383E6	632091	27312
6562.72	1.63315E6	636101	27790
6563.02	1.63321E6	639681	28070
6563.35	1.63263E6	644785	28459
6563.51	1.63072E6	646662	28488
6563.93	1.62999E6	653145	28798
6564.26	1.62967E6	658360	28938
6564.47	1.62938E6	660850	29028
6564.84	1.62894E6	664572	29072
6564.97	1.62911E6	665477	28977
6565.38	1.62879E6	666260	28956
6565.72	1.62861E6	664982	28801
6566.09	1.62908E6	662612	28595
6566.26	1.62886E6	661142	28518
6566.55	1.62809E6	656497	28142
6566.92	1.62789E6	650028	27809
6567.17	1.62706E6	643902	27570
6567.51	1.62617E6	633841	27092
6567.8	1.62586E6	625257	26667
6568.17	1.62536E6	612192	26208
6568.3	1.62494E6	606200	25872
6568.75	1.62427E6	589577	25255
6568.92	1.62385E6	581528	24901
6569.29	1.62321E6	566902	24298
6569.63	1.62271E6	557969	23982
6570	1.62224E6	551498	23628
6570.21	1.62161E6	549555	23526
6570.5	1.62165E6	548306	23501
6570.84	1.62187E6	550064	23547
6571.13	1.62149E6	554105	23746
6571.5	1.62103E6	561050	24004
6571.63	1.62096E6	564438	24137
6572.09	1.62054E6	575342	24611
6572.29	1.62026E6	581255	24843
6572.63	1.62015E6	591946	25238
6572.96	1.6199E6	603060	25683
6573.13	1.61964E6	607736	25870
6573.5	1.61944E6	620217	26347
6573.79	1.61915E6	629738	26685
6574.17	1.61849E6	638655	27038
6574.38	1.61853E6	642255	27158
6574.67	1.6179E6	648727	27458
6575	1.61752E6	653856	27686
6575.3	1.61702E6	656787	27740
6575.63	1.61653E6	659146	27854
6575.92	1.61616E6	660524	27882
6576.25	1.61598E6	661284	27893
6576.42	1.61533E6	661327	27910
6576.84	1.61462E6	661334	27854
6577.13	1.61405E6	661041	27824
6577.46	1.6139E6	660420	27694
6577.59	1.61378E6	660108	27671
6578.09	1.61305E6	659150	27530
6578.34	1.61277E6	658656	27471
6578.59	1.61222E6	658379	27403
6578.88	1.61176E6	658070	27379
6579.22	1.61133E6	658016	27206
6579.47	1.61127E6	658377	27166
6579.8	1.61105E6	659041	27134
6580.1	1.61057E6	659772	27080
6580.47	1.60988E6	660756	27061
6580.64	1.60943E6	661130	26985
6580.93	1.60912E6	662469	26931
6581.31	1.60875E6	664021	26898
6581.68	1.60899E6	665293	26830
6581.81	1.60909E6	665830	26786
6582.27	1.6085E6	666325	26642
6582.44	1.60818E6	666252	26560
6582.81	1.6078E6	666003	26477
6583.15	1.60729E6	665114	26295
6583.31	1.60705E6	664588	26247
6583.69	1.60642E6	663046	26039
6584.02	1.60649E6	661867	25816
6584.36	1.60595E6	659908	25679
6584.57	1.6056E6	659087	25520
6584.9	1.60514E6	656921	25371
6585.24	1.60464E6	654450	25140
6585.53	1.60416E6	651921	24912
6585.87	1.60366E6	649176	24739
6586.03	1.60336E6	647694	24609
6586.45	1.60209E6	644327	24375
6586.66	1.60182E6	642592	24282
6587	1.60122E6	640108	24083
6587.33	1.60092E6	637606	23944
6587.62	1.60041E6	635939	23811
6587.96	1.59983E6	634177	23772
6588.08	1.59975E6	633472	23750
6588.55	1.59888E6	631933	23725
6588.75	1.59867E6	631279	23686
6589.09	1.59783E6	630427	23764
6589.42	1.59726E6	629232	23751
6589.72	1.59673E6	628020	23763
6590.01	1.5962E6	625845	23852
6591.98	1.59089E6	593848	23630
6594.08	1.54778E6	530550	22226
6595.88	1.59133E6	513809	22112
6598.11	1.59198E6	497818	22123
6599.92	1.58966E6	500278	22880
6602.1	1.58733E6	505102	23761
6603.96	1.5852E6	522285	24677
6605.98	1.583E6	548806	25656
6607.96	1.58085E6	572275	26268
6610.02	1.57939E6	589691	26597
6612	1.57743E6	599308	26542
6613.95	1.57537E6	610941	26445
6616.06	1.57336E6	629223	26504
6617.83	1.5715E6	641849	26669
6619.95	1.56936E6	647096	26595
6621.98	1.56736E6	640817	26349
6624.01	1.56537E6	625754	25934
6626	1.56359E6	609865	25526
6628.08	1.5616E6	600367	25543
6629.86	1.55976E6	600915	25852
6632.03	1.5577E6	606501	26481
6634.11	1.55578E6	609923	26966
6635.94	1.55417E6	610261	27062
6638.07	1.55223E6	607133	26865
6639.94	1.55166E6	598636	26288
6641.98	1.54973E6	583377	25406
6644.07	1.54782E6	568963	24588
6645.95	1.54623E6	563797	24416
6647.99	1.54416E6	568182	24744
6650.04	1.54223E6	578497	25463
6651.92	1.54042E6	590451	26309
6653.98	1.53882E6	604965	27259
6655.99	1.53692E6	620543	28289
6658.04	1.5351E6	635408	29292
6659.93	1.53342E6	643394	29949
6662.03	1.53139E6	640465	30153
6663.91	1.52965E6	628189	29846
6665.97	1.52784E6	610612	29061
6668.03	1.52545E6	594460	28348
6669.92	1.52261E6	584838	27669
6671.99	1.52073E6	583128	27409
6674.05	1.51885E6	588678	27332
6675.95	1.51727E6	596962	27419
6678.06	1.51535E6	605202	27504
6679.87	1.51356E6	609573	27502
6682.15	1.51161E6	609552	27488
6683.97	1.51017E6	606693	27282
6686	1.50849E6	602952	27261
6688.07	1.50645E6	599021	27115
6689.97	1.50459E6	594957	26964
6692.01	1.50289E6	590207	26928
6694	1.50097E6	587049	26964
6695.95	1.49936E6	585822	27212
6698.11	1.49705E6	587478	27519
6699.89	1.49525E6	591290	27906
6702.02	1.49318E6	598462	28581
6703.84	1.4917E6	607051	29199
6706.1	1.48977E6	619102	30024
6707.88	1.48824E6	629801	30805
6709.97	1.48653E6	641958	31621
6712.06	1.48501E6	651551	32306
6713.94	1.48533E6	658216	32716
6716.07	1.48344E6	661006	32845
6718.03	1.48181E6	659771	32804
6719.95	1.48E6	654815	32487
6722.14	1.47815E6	647111	32199
6724.02	1.4764E6	639722	31863
6725.9	1.4748E6	633444	31647
6728	1.47295E6	627553	31345
6729.97	1.47124E6	622864	31140
6732.11	1.46906E6	618847	30955
6733.91	1.46761E6	616478	30779
6736.06	1.46575E6	615254	30737
6737.99	1.46457E6	615222	30687
6739.97	1.46295E6	615503	30665
6742.03	1.46096E6	615925	30717
6743.97	1.4588E6	616374	30788
6745.95	1.45699E6	617229	30880
6748.06	1.45539E6	618944	31144
6749.96	1.45371E6	620280	31306
6752.16	1.45208E6	621601	31558
6753.97	1.45058E6	622603	31754
6755.91	1.44883E6	624005	31996
6758.12	1.44599E6	626171	32364
6759.97	1.44402E6	628659	32516
6761.88	1.44251E6	631379	32723
6764.13	1.44078E6	633706	32915
6765.95	1.43938E6	635412	33022
6768.07	1.43731E6	636427	33089
6769.94	1.43569E6	636132	33097
6772.11	1.43385E6	635847	33040
6773.88	1.43234E6	636130	33272
6776.1	1.42995E6	637609	33412
6777.88	1.42831E6	640010	33733
6780.06	1.42657E6	644296	34049
6781.93	1.42468E6	647558	34478
6784.07	1.42319E6	651642	34855
6785.94	1.42205E6	653854	35317
6788.12	1.42121E6	655706	35640
6789.91	1.4196E6	656361	35835
6792.14	1.41787E6	656502	36057
6793.92	1.41619E6	655811	36172
6796.16	1.41427E6	654882	36326
6797.77	1.41287E6	653811	36375
6800.14	1.41119E6	652291	36459
6801.97	1.4088E6	650477	36427
6803.99	1.40726E6	648382	36514
6806.01	1.40574E6	646799	36399
6807.98	1.40425E6	645417	36389
6810	1.40253E6	644412	36345
6812.02	1.40035E6	643604	36272
6814.04	1.39864E6	643495	36321
6816.02	1.39785E6	643841	36319
6817.95	1.3964E6	644085	36309
6820.03	1.39471E6	644430	36251
6822.05	1.39306E6	644890	36370
6824.04	1.39148E6	645956	36415
6825.93	1.38998E6	647905	36597
6827.92	1.3881E6	650744	36723
6829.9	1.37444E6	648218	36650
