Energy	I0	Sample	Reference
6567.67	740125	625414	26106
6568.13	740016	629330	26246
6568.46	739901	632818	26362
6568.63	739736	634507	26294
6569	739437	638922	26443
6569.38	739186	642761	26643
6569.54	739116	644168	26630
6569.88	738194	646266	26654
6570.25	737978	649032	26811
6570.38	737853	649892	26822
6570.79	737674	651927	26923
6571.09	737549	653295	26990
6571.46	737364	654130	27038
6571.59	737145	654403	27052
6572.04	736993	654909	27138
6572.25	737477	655652	27122
6572.63	737348	655792	27106
6572.96	737137	655469	27161
6573.09	737004	655474	27187
6573.5	736717	654839	27149
6573.84	736525	654369	27163
6574.21	736207	653412	27141
6574.38	736111	653073	27118
6574.67	735397	651804	27100
6575.04	735351	651226	27052
6575.17	735221	651244	27053
6575.59	734972	651313	27041
6575.92	734918	651792	27103
6576.3	734757	652978	27087
6576.42	734701	653719	27158
6576.84	734270	655769	27146
6577.13	733475	657521	27126
6577.51	733313	660562	27219
6577.63	733099	662022	27269
6578.05	732738	666434	27369
6578.26	732542	668602	27309
6578.63	732325	673036	27410
6578.97	732118	678015	27520
6579.13	732793	681444	27676
6579.47	733020	686704	27738
6579.8	732811	691932	27854
6580.1	732653	696058	27913
6580.47	732422	701566	28034
6580.6	732108	703459	28080
6581.06	731762	709562	28094
6581.22	731668	712814	28234
6581.64	731312	718642	28248
6581.81	731053	721580	28271
6582.23	730811	727219	28367
6582.6	730780	731509	28296
6582.77	730725	733918	28420
6583.15	730498	739179	28383
6583.27	730350	741062	28423
6583.69	730058	746335	28450
6584.02	730047	750729	28418
6584.36	729885	755092	28460
6584.57	729854	756751	28407
6584.9	729547	760465	28425
6585.24	729375	764308	28355
6585.53	729388	767277	28368
6585.87	729125	770365	28302
6586.03	728978	771669	28309
6586.45	727965	773641	28163
6586.66	727871	775050	28209
6587	727642	776788	28124
6587.33	727428	778493	28098
6587.62	727222	779614	28133
6587.96	727049	780950	28143
6588.08	726723	781035	28062
6588.55	726482	781898	28161
6588.75	726819	783054	28221
6589.09	726499	783355	28291
6589.42	726197	783615	28375
6589.68	726083	783833	28440
6590.05	725882	783858	28656
6592.02	723403	781307	29515
6594.08	703816	757358	29823
6595.88	723941	768235	31059
6598.07	724140	749701	31265
6599.96	722896	729961	31471
6601.94	722032	714920	31759
6604.08	720997	700716	31629
6605.93	720150	692160	31186
6608.08	719102	687949	30547
6609.94	718214	688289	30076
6612.13	717102	690822	29547
6613.95	716174	693982	29051
6616.06	715357	699226	28666
6617.83	714536	704171	28476
6619.99	713487	709939	28354
6621.94	712614	713856	28441
6624.05	711778	715891	28732
6625.83	711006	715331	28894
6628.04	710311	711583	29192
6629.86	709509	706442	29394
6632.07	708404	701003	29704
6633.9	707599	699174	29915
6636.15	706513	699822	30070
6637.9	705497	701595	30135
6640.11	704647	703408	29870
6641.94	703748	703965	29583
6644.11	702878	703374	29315
6645.9	702137	702060	29227
6648.17	701391	701210	29385
6649.87	700603	701291	29750
6652.1	699646	704022	30338
6653.93	698851	708528	30929
6656.07	698080	716114	31713
6657.87	697036	723449	32450
6660.14	696319	733249	33271
6661.85	695523	740446	33827
6664.04	694721	748523	34347
6665.93	693919	754156	34628
6668.08	692894	758793	34715
6669.92	692111	760420	34596
6671.99	691200	760003	34307
6674.1	690343	756955	33797
6675.95	689466	752644	33300
6678.01	688574	747709	32880
6679.91	687845	742987	32440
6682.07	686999	737632	32159
6683.88	686236	733363	32007
6686.17	685395	728882	31805
6687.94	684579	725828	31615
6690.06	683890	723345	31671
6691.96	683146	721750	31772
6694.04	682288	720495	31960
6695.95	681550	720195	32168
6698.07	680586	720469	32587
6699.98	679839	721703	32988
6702.06	678991	723776	33434
6703.97	678003	725786	33812
6706.1	677141	729033	34342
6707.88	676428	732443	34793
6709.93	675749	736914	35412
6712.06	674797	741161	35803
6713.89	674134	744647	36082
6716.12	673221	747743	36238
6717.95	672494	749525	36363
6720.09	671967	750738	36342
6721.92	671150	750166	36280
6724.11	670335	749376	36257
6725.94	669625	748451	36286
6728	668839	748181	36321
6729.97	668101	748360	36270
6732.16	667281	748980	36300
6733.91	666638	749857	36314
6736.06	665606	750332	36297
6737.99	665032	750653	36286
6740.01	664230	750407	36229
6741.95	663487	749836	36293
6744.14	662636	748716	36228
6746.04	661860	747839	36355
6747.93	661112	747174	36533
6750	660528	747120	36557
6751.94	659774	747079	36791
6754.15	658890	747126	37057
6755.95	658248	747694	37349
6758.03	657312	748852	37555
6760.02	656693	750456	37807
6762.01	655894	752568	37926
6764.04	654911	755376	38108
6765.99	653540	757966	38181
6768.03	652754	761827	38493
6770.02	651924	765336	38708
6771.98	651168	768301	38918
6773.97	650390	770869	39094
6775.97	649690	772875	39372
6777.97	648876	774739	39681
6780.02	647904	776223	39943
6781.97	647207	777251	40121
6784.02	646457	778001	40585
6786.03	645656	778503	40973
6788.08	644913	778148	41140
6789.91	644117	777921	41359
6792.14	643356	777100	41701
6793.92	642509	776504	41816
6796.11	641737	775837	41999
6797.86	641081	775298	42096
6800.14	640140	774867	42212
6801.93	639413	774212	42296
6803.94	638617	773761	42309
6806.01	637776	773077	42386
6807.98	636934	772292	42362
6810	636102	771587	42384
6812.02	635353	770796	42392
6814	634362	769972	42300
6816.02	633532	769841	42239
6818.04	632706	769855	42289
6820.12	631967	770390	42212
6821.96	631464	771292	42295
6823.99	630763	772579	42488
6825.97	630127	773744	42502
6828.01	629507	775101	42598
6829.99	623118	768654	42457
6832.07	623684	772853	42651
6833.97	626381	778149	43153
6836	625900	779567	43323
6838.04	625151	780604	43487
6840.03	624373	781636	43765
6841.98	623616	782383	43848
6843.93	622858	784050	44148
6845.98	622100	784718	44330
6847.97	621216	785583	44503
6850.02	620272	786004	44637
6852.02	619460	786201	44708
6853.97	618776	787015	44927
6856.02	618338	788064	45130
6857.93	617556	788346	45384
6860.03	616612	788607	45561
6861.95	615894	789213	45751
6863.95	615048	789974	46009
6865.96	614317	790916	46199
6868.06	613561	791614	46461
6869.98	612701	792170	46706
6872.09	612914	793810	46910
6874.05	612159	794431	47171
6876.02	611396	794726	47337
6877.99	610632	795176	47536
6879.92	609961	795981	47760
6882.03	609273	796500	47907
6883.96	608674	797027	48127
6885.98	599367	786105	47585
6888.09	606323	796375	48462
6890.12	605907	797032	48585
