Energy	I0	Sample	Reference
6557.99	2.48873E6	357070	16833
6558.12	2.48826E6	358063	17225
6558.53	2.48746E6	361528	17488
6558.82	2.48632E6	364555	17474
6559.15	2.4855E6	367341	17688
6559.36	2.48465E6	368505	18122
6559.69	2.48395E6	371587	18469
6560.03	2.48317E6	374616	18821
6560.36	2.48219E6	377718	19571
6560.52	2.48157E6	379726	19599
6560.94	2.48062E6	384721	20275
6561.27	2.47946E6	389919	21103
6561.44	2.47872E6	391793	21622
6561.81	2.4778E6	396458	22249
6562.18	2.477E6	402077	22804
6562.31	2.47612E6	403855	23224
6562.68	2.47522E6	410244	23668
6563.02	2.47446E6	415336	23619
6563.35	2.47316E6	420548	24602
6563.51	2.47145E6	422362	24927
6563.97	2.47013E6	427672	25291
6564.18	2.4693E6	430516	25217
6564.47	2.46789E6	434798	25193
6564.84	2.46662E6	438557	25190
6564.93	2.46665E6	440415	25532
6565.51	2.46581E6	445943	25765
6565.68	2.46472E6	447126	25701
6566.09	2.46377E6	450347	25911
6566.22	2.46343E6	451905	25862
6566.67	2.46159E6	454051	25739
6566.88	2.46098E6	455429	25536
6567.17	2.46009E6	457599	25981
6567.55	2.45919E6	458935	26002
6567.71	2.45878E6	459636	25841
6568.17	2.45949E6	461576	25817
6568.38	2.45867E6	462189	25962
6568.67	2.4577E6	463520	25890
6569	2.45673E6	464494	25587
6569.29	2.45577E6	465351	25683
6569.63	2.4542E6	466454	25614
6569.92	2.453E6	467592	25750
6570.29	2.45172E6	468354	25736
6570.42	2.45135E6	469122	25917
6570.79	2.44994E6	470760	25647
6571.13	2.44742E6	471796	25588
6571.46	2.44646E6	474048	25991
6571.63	2.44572E6	473906	26153
6572.09	2.44464E6	477002	26275
6572.29	2.44525E6	477917	26485
6572.63	2.44578E6	480757	26382
6572.96	2.44498E6	483074	26684
6573.13	2.44431E6	484456	26826
6573.5	2.44356E6	487214	27011
6573.84	2.44096E6	489203	27005
6574.25	2.43981E6	492075	27308
6574.29	2.43933E6	492536	27319
6574.71	2.43846E6	495612	27480
6575.09	2.43784E6	498472	27500
6575.21	2.43634E6	499363	27400
6575.59	2.43573E6	502486	27851
6575.96	2.43502E6	505063	27675
6576.13	2.43459E6	505921	27990
6576.55	2.43366E6	508792	27898
6576.76	2.43259E6	510182	27649
6577.13	2.43143E6	512569	27951
6577.34	2.43053E6	513909	27984
6577.72	2.43003E6	516022	27964
6577.97	2.42898E6	517840	27629
6578.34	2.42843E6	519322	27962
6578.51	2.42824E6	520240	28080
6578.93	2.42729E6	522154	28105
6579.26	2.42661E6	523663	28361
6579.43	2.42633E6	524358	27848
6579.84	2.42587E6	526274	27911
6580.05	2.42529E6	526160	27543
6580.47	2.42435E6	527394	27624
6580.68	2.42369E6	527786	27888
6580.97	2.42229E6	528242	28117
6581.31	2.42107E6	528905	27458
6581.56	2.4205E6	529201	27783
6581.93	2.41963E6	530018	27711
6582.18	2.41869E6	530112	27632
6582.56	2.4174E6	530036	27338
6582.73	2.41704E6	530290	27205
6583.1	2.41587E6	530585	27246
6583.44	2.41516E6	530230	26915
6583.56	2.41477E6	530190	26997
6583.98	2.41377E6	530026	27215
6584.4	2.41231E6	529847	26894
6584.57	2.4117E6	530246	26755
6584.9	2.41072E6	529448	25999
6585.24	2.4099E6	529649	25789
6585.57	2.40831E6	529008	25773
6585.7	2.40782E6	528844	25703
6586.12	2.40675E6	528143	25336
6586.54	2.40575E6	527940	25308
6586.66	2.40532E6	527331	25177
6587	2.40388E6	526939	24632
6587.37	2.40318E6	526157	24633
6587.5	2.40247E6	526191	24602
6587.92	2.40152E6	525510	24934
6588.25	2.40056E6	525469	24997
6588.42	2.40049E6	525065	25324
6588.84	2.39924E6	524299	24841
6589.09	2.39845E6	524383	25120
6589.42	2.39721E6	523353	25264
6589.72	2.39424E6	522269	24974
6590.05	2.39272E6	521641	25169
6592.02	2.38388E6	517674	25929
6594.08	2.3199E6	502286	26182
6595.88	2.38578E6	512383	27498
